回数,step,種類,青時間(秒)
426,26677.0,従道路,16.0
428,26797.0,従道路,35.0
430,26917.0,従道路,16.0
432,27037.0,従道路,35.0
434,27157.0,従道路,16.0
436,27277.0,従道路,35.0
438,27397.0,従道路,16.0
440,27517.0,従道路,35.0
442,27637.0,従道路,16.0
444,27757.0,従道路,35.0
446,27877.0,従道路,16.0
448,27997.0,従道路,35.0
450,28117.0,従道路,16.0
452,28237.0,従道路,35.0
454,28357.0,従道路,16.0
456,28477.0,従道路,35.0
458,28597.0,従道路,16.0
460,28717.0,従道路,35.0
462,28837.0,従道路,16.0
464,28957.0,従道路,35.0
466,29077.0,従道路,16.0
468,29197.0,従道路,35.0
470,29317.0,従道路,16.0
472,29437.0,従道路,35.0
474,29557.0,従道路,16.0
476,29677.0,従道路,35.0
478,29797.0,従道路,16.0
480,29917.0,従道路,35.0
482,30037.0,従道路,16.0
484,30157.0,従道路,35.0
486,30277.0,従道路,16.0
488,30397.0,従道路,35.0
490,30517.0,従道路,16.0
492,30637.0,従道路,35.0
494,30757.0,従道路,16.0
496,30877.0,従道路,35.0
498,30997.0,従道路,16.0
500,31117.0,従道路,35.0
502,31237.0,従道路,16.0
504,31357.0,従道路,35.0
506,31477.0,従道路,16.0
508,31597.0,従道路,35.0
510,31717.0,従道路,16.0
512,31837.0,従道路,35.0
514,31957.0,従道路,16.0
516,32077.0,従道路,35.0
518,32197.0,従道路,16.0
520,32317.0,従道路,35.0
522,32437.0,従道路,16.0
524,32557.0,従道路,35.0
526,32677.0,従道路,16.0
528,32797.0,従道路,35.0
530,32917.0,従道路,16.0
532,33037.0,従道路,35.0
534,33157.0,従道路,16.0
536,33277.0,従道路,35.0
538,33397.0,従道路,16.0
540,33517.0,従道路,35.0
542,33637.0,従道路,16.0
544,33757.0,従道路,35.0
546,33877.0,従道路,16.0
548,33997.0,従道路,35.0
550,34117.0,従道路,16.0
552,34237.0,従道路,35.0
554,34357.0,従道路,16.0
556,34477.0,従道路,35.0
558,34597.0,従道路,16.0
560,34717.0,従道路,35.0
562,34837.0,従道路,16.0
564,34957.0,従道路,35.0
566,35077.0,従道路,16.0
568,35197.0,従道路,35.0
570,35317.0,従道路,16.0
572,35437.0,従道路,35.0
574,35557.0,従道路,16.0
576,35677.0,従道路,35.0
578,35797.0,従道路,16.0
580,35917.0,従道路,35.0
582,36037.0,従道路,16.0
584,36157.0,従道路,35.0
586,36277.0,従道路,16.0
588,36397.0,従道路,35.0
590,36517.0,従道路,16.0
592,36637.0,従道路,35.0
594,36757.0,従道路,16.0
596,36877.0,従道路,35.0
598,36997.0,従道路,16.0
600,37117.0,従道路,35.0
602,37237.0,従道路,16.0
604,37357.0,従道路,35.0
606,37477.0,従道路,16.0
608,37597.0,従道路,35.0
610,37717.0,従道路,16.0
612,37837.0,従道路,35.0
614,37957.0,従道路,16.0
616,38077.0,従道路,35.0
618,38197.0,従道路,16.0
620,38317.0,従道路,35.0
622,38437.0,従道路,16.0
624,38557.0,従道路,35.0
626,38677.0,従道路,16.0
628,38797.0,従道路,35.0
630,38917.0,従道路,16.0
632,39037.0,従道路,35.0
634,39157.0,従道路,16.0
636,39277.0,従道路,35.0
638,39397.0,従道路,16.0
640,39517.0,従道路,35.0
642,39637.0,従道路,16.0
644,39757.0,従道路,35.0
646,39877.0,従道路,16.0
648,39997.0,従道路,35.0
650,40117.0,従道路,16.0
652,40237.0,従道路,35.0
654,40357.0,従道路,16.0
656,40477.0,従道路,35.0
658,40597.0,従道路,16.0
660,40717.0,従道路,35.0
662,40837.0,従道路,16.0
664,40957.0,従道路,35.0
666,41077.0,従道路,16.0
668,41197.0,従道路,35.0
670,41317.0,従道路,16.0
672,41437.0,従道路,35.0
674,41557.0,従道路,16.0
676,41677.0,従道路,35.0
678,41797.0,従道路,16.0
680,41917.0,従道路,35.0
682,42037.0,従道路,16.0
684,42157.0,従道路,35.0
686,42277.0,従道路,16.0
688,42397.0,従道路,35.0
690,42517.0,従道路,16.0
692,42637.0,従道路,35.0
694,42757.0,従道路,16.0
696,42877.0,従道路,35.0
698,42997.0,従道路,16.0
700,43117.0,従道路,35.0
702,43237.0,従道路,16.0
704,43357.0,従道路,35.0
706,43477.0,従道路,16.0
708,43597.0,従道路,35.0
710,43717.0,従道路,16.0
712,43837.0,従道路,35.0
714,43957.0,従道路,16.0
716,44077.0,従道路,35.0
718,44197.0,従道路,16.0
720,44317.0,従道路,35.0
722,44437.0,従道路,16.0
724,44557.0,従道路,35.0
726,44677.0,従道路,16.0
728,44797.0,従道路,35.0
730,44917.0,従道路,16.0
732,45037.0,従道路,35.0
734,45157.0,従道路,16.0
736,45277.0,従道路,35.0
738,45397.0,従道路,16.0
740,45517.0,従道路,35.0
742,45637.0,従道路,16.0
744,45757.0,従道路,35.0
746,45877.0,従道路,16.0
748,45997.0,従道路,35.0
750,46117.0,従道路,16.0
752,46237.0,従道路,35.0
754,46357.0,従道路,16.0
756,46477.0,従道路,35.0
758,46597.0,従道路,16.0
760,46717.0,従道路,35.0
762,46837.0,従道路,16.0
764,46957.0,従道路,35.0
766,47077.0,従道路,16.0
768,47197.0,従道路,35.0
770,47317.0,従道路,16.0
772,47437.0,従道路,35.0
